date,total_return_index,equity_return_percent,unit_nav
2012-09-07,75.22311449241583,3.7771,2.198
2012-09-10,75.39424707788608,0.2275,2.203
2012-09-11,74.88088764953275,-0.6809,2.188
2012-09-12,75.08621104346777,0.2742,2.194
2012-09-13,74.47020376806717,-0.8204,2.176
2012-09-14,74.98352688264046,0.6893,2.191
2012-09-17,73.44344022399791,-2.0539,2.146
2012-09-18,72.89584593368778,-0.7456,2.13
2012-09-19,73.16964273101472,0.3756,2.138
2012-09-20,71.69805487640855,-2.0112,2.095
2012-09-21,71.80072649099158,0.1432,2.098
2012-09-24,72.04032551529201,0.3337,2.105
2012-09-25,71.90344889681296,-0.19,2.101
2012-09-26,71.0136437167149,-1.2375,2.075
2012-09-27,72.82747420452722,2.5542,2.128
2012-09-28,73.92265376161491,1.5038,2.16
2012-09-30,73.92265376161491,0.0,2.16
2012-10-08,73.44356104258588,-0.6481,2.146
2012-10-09,74.84670027630449,1.9105,2.187
2012-10-10,74.98359489110986,0.1829,2.191
2012-10-11,74.40179717834974,-0.7759,2.174
2012-10-12,74.47024683175383,0.092,2.176
2012-10-15,74.26493236123868,-0.2757,2.17
2012-10-16,74.26493236123868,0.0,2.17
2012-10-17,74.4702748992175,0.2765,2.176
2012-10-18,75.36012021398825,1.1949,2.202
2012-10-19,75.32590671941111,-0.0454,2.201
2012-10-22,75.49704717947762,0.2272,2.206
2012-10-23,74.81259094974847,-0.9066,2.186
2012-10-24,74.88104447046749,0.0915,2.188
2012-10-25,74.47039682259144,-0.5484,2.176
2012-10-26,73.23835857755849,-1.6544,2.14
2012-10-29,72.96459359319557,-0.3738,2.132
2012-10-30,73.13569556517162,0.2345,2.137
2012-10-31,73.30683309279412,0.234,2.142
2012-11-01,74.57313532763905,1.7274,2.179
2012-11-02,74.94958051477296,0.5048,2.19
2012-11-05,74.81272258075299,-0.1826,2.186
2012-11-06,74.53890801610743,-0.366,2.178
2012-11-07,74.53890801610743,0.0,2.178
2012-11-08,73.34106776428858,-1.607,2.143
2012-11-09,73.23839026941859,-0.14,2.14
2012-11-12,73.54643093889176,0.4206,2.149
2012-11-13,72.45125103578073,-1.4891,2.117
2012-11-14,72.72504431344494,0.3779,2.125
2012-11-15,71.86943416709725,-1.1765,2.1
2012-11-16,71.32186094817814,-0.7619,2.084
2012-11-19,71.32186094817814,0.0,2.084
2012-11-20,71.04805632399808,-0.3839,2.076
2012-11-21,71.83519774001167,1.1079,2.099
2012-11-22,71.28759802763955,-0.7623,2.083
2012-11-23,71.69828587987678,0.5761,2.095
2012-11-26,71.35606996137213,-0.4773,2.085
2012-11-27,70.46625976895382,-1.247,2.059
2012-11-28,69.88449032830134,-0.8256,2.042
2012-11-29,69.57650937942451,-0.4407,2.033
2012-11-30,70.12407650824058,0.787,2.049
2012-12-03,69.33693374943557,-1.1225,2.026
2012-12-04,69.91873996052709,0.8391,2.043
2012-12-05,71.9721834344278,2.9369,2.103
2012-12-06,71.83529234153552,-0.1902,2.099
2012-12-07,73.03314584133062,1.6675,2.134
2012-12-10,73.85447659946223,1.1246,2.158
2012-12-11,73.58069805470802,-0.3707,2.15
2012-12-12,73.82027680757415,0.3256,2.157
2012-12-13,73.0673838044137,-1.0199,2.135
2012-12-14,76.3185901141749,4.4496,2.23
2012-12-17,76.66080267224685,0.4484,2.24
2012-12-18,76.69499339023866,0.0446,2.241
2012-12-19,76.66078742318662,-0.0446,2.24
2012-12-20,76.90035238388408,0.3125,2.247
2012-12-21,76.38696563136928,-0.6676,2.232
2012-12-24,76.62651515558926,0.3136,2.239
2012-12-25,78.5430209261457,2.5011,2.295
2012-12-26,78.81682189709426,0.3486,2.303
2012-12-27,78.4061074381885,-0.5211,2.291
2012-12-28,79.43283541509159,1.3095,2.321
2012-12-31,80.66491812521508,1.5511,2.357
2013-01-04,80.87029100676187,0.2546,2.363
2013-01-07,81.17832594520662,0.3809,2.372
2013-01-08,80.83607812302164,-0.4216,2.362
2013-01-09,80.69922264275937,-0.1693,2.358
2013-01-10,80.87030499476201,0.212,2.363
2013-01-11,79.4671243327979,-1.7351,2.322
2013-01-14,81.93124092410929,3.1008,2.394
2013-01-15,82.37612756232721,0.543,2.407
2013-01-16,81.69166431841184,-0.8309,2.387
2013-01-17,80.90448344103963,-0.9636,2.364
2013-01-18,82.06805172188865,1.4382,2.398
2013-01-21,82.41027549756893,0.417,2.408
2013-01-22,81.99962509476455,-0.4983,2.396
2013-01-23,82.37608537357463,0.4591,2.407
2013-01-24,81.6916224802056,-0.8309,2.387
2013-01-25,81.34941627363601,-0.4189,2.377
2013-01-28,83.40283823921513,2.5242,2.437
2013-01-29,83.88198754489943,0.5745,2.451
2013-01-30,84.60068841418412,0.8568,2.472
2013-01-31,84.70339364991894,0.1214,2.475
2013-02-01,85.96962468159158,1.4949,2.512
2013-02-04,86.27765384682571,0.3583,2.521
2013-02-05,86.58566507105888,0.357,2.53
2013-02-06,86.61986640876195,0.0395,2.531
2013-02-07,85.93539622439992,-0.7902,2.511
2013-02-08,86.31187919525901,0.4381,2.522
2013-02-18,85.86694145800745,-0.5155,2.509
2013-02-19,84.56648662962593,-1.5145,2.471
2013-02-20,85.01139091578439,0.5261,2.484
2013-02-21,82.30768863909879,-3.1804,2.405
2013-02-22,81.86281558200446,-0.5405,2.392
2013-02-25,82.30773998469266,0.5435,2.405
2013-02-26,81.10991544469542,-1.4553,2.37
2013-02-27,81.69171686818022,0.7173,2.387
2013-02-28,83.67666220464326,2.4298,2.445
2013-03-01,83.43709592075137,-0.2863,2.438
2013-03-04,80.2885136690859,-3.7736,2.346
2013-03-05,82.27348659252672,2.4723,2.404
2013-03-06,83.02637126833493,0.9151,2.426
2013-03-07,82.13657764745219,-1.0717,2.4
2013-03-08,81.96548715621255,-0.2083,2.395
2013-03-11,81.62328124733536,-0.4175,2.385
2013-03-12,80.73350585845814,-1.0901,2.359
2013-03-13,79.84366115688623,-1.1022,2.333
2013-03-14,80.11744507099318,0.3429,2.341
2013-03-15,80.52812709442709,0.5126,2.353
2013-03-18,79.36449565791263,-1.445,2.319
2013-03-19,79.94631677558078,0.7331,2.336
2013-03-20,82.17082303986132,2.7825,2.401
2013-03-21,82.37616792663793,0.2499,2.407
2013-03-22,82.44462252218497,0.0831,2.409
2013-03-25,82.37619348549156,-0.083,2.407
2013-03-26,81.34945660988839,-1.2464,2.377
2013-03-27,81.52053451713898,0.2103,2.382
2013-03-28,79.19336781827822,-2.8547,2.314
2013-03-29,79.15915628338072,-0.0432,2.313
2013-04-01,79.02229010216676,-0.1729,2.309
2013-04-02,78.78269451857699,-0.3032,2.302
2013-04-03,78.68004066761928,-0.1303,2.299
2013-04-08,78.2693308553343,-0.522,2.287
2013-04-09,78.68001003433224,0.5247,2.299
2013-04-10,78.6457842299673,-0.0435,2.298
2013-04-11,78.40622917120282,-0.3046,2.291
2013-04-12,77.89290358881897,-0.6547,2.276
2013-04-15,77.03732793579938,-1.0984,2.251
2013-04-16,77.51642307823212,0.6219,2.265
2013-04-17,77.44797607665404,-0.0883,2.263
2013-04-18,77.55067209293168,0.1326,2.266
2013-04-19,79.29610506972729,2.2507,2.317
2013-04-22,79.22767253105212,-0.0863,2.315
2013-04-23,77.10579700532548,-2.6782,2.253
2013-04-24,78.40626337761731,1.6866,2.291
