date,per_hundred_income,total_return_index
2015-10-29,0.6219000000,110.963772120411
2015-10-31,1.2438000000,110.989783210650
2015-11-01,0.7372000000,110.997965377468
2015-11-02,0.6188000000,110.992622859650
2015-11-03,0.6537000000,110.995440846879
2015-11-04,0.6147000000,110.997817394097
2015-11-05,0.7606000000,111.012925674234
2015-11-07,1.2351000000,111.031075639698
2015-11-08,0.7336000000,111.039220879407
2015-11-09,0.6335000000,111.029599120009
2015-11-10,0.6244000000,111.048749299173
2015-11-11,0.6245000000,111.059014233798
2015-11-12,0.6297000000,111.069337769841
2015-11-14,1.2434000000,111.093148297982
2015-11-15,0.6897000000,111.100810392419
2015-11-16,0.6276000000,111.093340258249
2015-11-17,0.7146000000,111.102389401934
2015-11-18,0.6886000000,111.108929422416
2015-11-19,0.6160000000,111.117994849387
2015-11-21,1.2287000000,111.137201391984
2015-11-22,0.7284000000,111.145296625733
2015-11-23,0.6251000000,111.151133472974
2015-11-24,0.6191000000,111.152460269527
2015-11-25,0.6504000000,111.156356666709
2015-11-26,0.6364000000,111.161208543286
2015-11-28,1.2755000000,111.173156275610
2015-11-29,0.6396000000,111.180266910685
2015-11-30,0.6546000000,111.177542688346
2015-12-01,0.6714000000,111.198352638197
2015-12-02,0.6767000000,111.211434892407
2015-12-03,0.6719000000,111.221130322755
2015-12-05,1.3441000000,111.249428638359
2015-12-06,0.6717000000,111.256901262480
2015-12-07,0.6695000000,111.258790584356
2015-12-08,0.6905000000,111.265361061539
2015-12-09,0.6726000000,111.260604092984
2015-12-10,0.6731000000,111.268093044246
2015-12-12,1.3430000000,111.289709796942
2015-12-13,0.8004000000,111.298617425315
2015-12-14,0.6783000000,111.298379970121
2015-12-15,0.6807000000,111.305956050846
2015-12-16,0.6822000000,111.317999572721
2015-12-17,0.6848000000,111.325622629331
2015-12-19,1.3676000000,111.353096659169
2015-12-20,0.7522000000,111.361472639100
2015-12-21,0.6850000000,111.346824994934
2015-12-22,0.6846000000,111.347769667368
2015-12-23,0.6893000000,111.363236559248
2015-12-24,0.6976000000,111.365439377441
2015-12-26,1.4003000000,111.393289031911
2015-12-27,0.7055000000,111.401147828452
2015-12-28,0.7959000000,111.408900746529
2015-12-29,0.7078000000,111.417899846616
2015-12-30,0.7033000000,111.429076836740
2016-01-02,2.1221000000,111.467212309732
2016-01-03,0.7044000000,111.475064060167
2016-01-04,0.8570000000,111.440029293450
2016-01-05,0.6989000000,111.469003593014
2016-01-06,0.6971000000,111.490144763623
2016-01-07,0.6839000000,111.502235274314
2016-01-09,1.2937000000,111.532271021468
2016-01-10,0.6844000000,111.539904290097
2016-01-11,0.6569000000,111.532733141540
2016-01-12,0.6479000000,111.537730018809
2016-01-13,0.6344000000,111.542576502462
2016-01-14,0.6341000000,111.549649417238
2016-01-16,1.2671000000,111.572703448613
2016-01-17,0.6351000000,111.579789431009
2016-01-18,0.6375000000,111.573513064800
2016-01-19,0.6479000000,111.576281268506
2016-01-20,0.6583000000,111.576926415087
2016-01-21,0.6896000000,111.561190707357
2016-01-23,1.3354000000,111.606223046999
2016-01-24,0.6808000000,111.613821198665
