date,signal_date,turnover,gross_decrease,us_decrease,factor_alignment,sale_top1,sale_top2,buy_top2,top1,top2,edge5,edge20,edge60
2015-07-27,2015-07-24,0.16329195989999998,0.15803405309999996,0.1596292819,-0.039024641699999994,0.15952393439999998,0.15952393439999998,0.001357918399999998,nasdaq,nasdaq|shanghai,-0.004134324827896666,0.009590418613386813,-0.0015472307646673933
2015-08-20,2015-08-19,0.1652832135,-0.10258398769999999,-0.1265182954,0.0267711983625,0.0,0.0160685571,0.11489384929999999,nasdaq,nasdaq|shanghai,0.0014129787030828969,0.0023515138784452137,0.0004635261397415516
2015-09-04,2015-09-03,0.06820869680000004,-0.06820869680000002,-0.06332005360000004,0.014108157162500008,0.0,0.0,0.060357984700000034,nasdaq,nasdaq|csi300,0.0012653186682134625,-0.00027797625772428547,0.00542054892647604
2015-09-10,2015-09-09,0.378248228,0.378248228,0.35113847930000003,-0.076900678075,0.334712461,0.35113847930000003,0.0,nasdaq,nasdaq|sp500,-0.010639978452763668,-0.004968222888313914,-0.021751968658894477
2015-10-19,2015-10-16,0.57227073,-0.57227073,-0.5013455712,0.0,0.0,0.0,0.0709251588,csi300,csi300|gold,0.004686421384459913,-0.003351608339566805,-0.015565043625600917
2015-10-29,2015-10-28,0.13745353589999998,0.13745353589999992,0.10336548629999998,0.004054197725000001,0.034088049599999996,0.07093190449999998,0.0,gold,gold|nasdaq,-0.0006277460677272524,-0.00012216241102470157,0.00491553331529283
2015-11-10,2015-11-09,0.12329482989999999,0.048149978100000046,0.06798534460000005,-0.0030039975875000057,0.0,0.0,0.017737059399999977,nasdaq,nasdaq|csi300,-0.0008557173076141017,-0.0011832563056649382,0.003171820311776304
2015-11-12,2015-11-11,0.386667216,0.386667216,0.3299947403,-0.04756073718749999,0.0,0.3123901802,0.0,csi300,csi300|nasdaq,-0.009449571090945325,-0.010105285857521724,0.022367611872494222
2016-02-09,2016-02-08,0.5029165037000001,-0.5029165037000001,-0.23058,0.16499075185,0.0,0.0,0.5029165037000001,gold,gold|nasdaq,0.00023544632805492637,0.02434897751079231,0.03493843800912308
2016-03-08,2016-03-07,0.2535012538,0.18195160140000005,0.2177264276,0.0178874131,0.0,0.0,0.0357748262,gold,gold|sp500,-0.0075915341748546555,-0.011878903701148014,-0.02022164809297447
2016-04-29,2016-04-28,0.294107404,0.05424663560000004,-0.1167611718,-0.01836173060000001,0.17100780740000002,0.17100780740000002,0.1199303842,gold,gold|sp500,-0.004442689526768733,0.008161284721667472,-0.0037300825802541716
2016-06-07,2016-06-06,0.2809493033,-0.2809493033,-0.20586880280000006,0.04215264105000001,0.0,0.0,0.20586880280000003,sp500,sp500|nasdaq,-0.003985018710051472,0.0037619817573800495,0.01544818328984688
2016-07-22,2016-07-21,0.12048686529999997,-0.12048686529999997,-0.07380638029999997,0.031104278862499994,0.0,0.0,0.08751392529999999,sp500,sp500|gold,-0.0005294892864833142,0.00013570252777833115,-0.0029756413894271912
2016-07-25,2016-07-22,0.4489140182,0.04704675540000003,0.24798038680000004,-0.039990389349999995,0.2089047659,0.2089047659,0.1897335396,sp500,sp500|gold,0.000976421688124179,-0.0027161850064658186,-0.01038542753247823
2016-10-14,2016-10-13,0.6671442557,-0.15958960590000004,-0.3789320179,0.097276263825,0.0,0.2362421035,0.3964672393,nasdaq,nasdaq|gold,-0.005814702335767737,0.0012551381060245592,0.03544761347292908
2016-11-17,2016-11-16,0.7806972858,0.7806972858,0.5402415584,0.0,0.2123559441,0.7525975025,0.0,gold,gold|nasdaq,-0.011119157362631311,-0.012232902913842346,-0.048453271530573556
2016-11-30,2016-11-29,0.6895564712000001,-0.6895564712000001,-0.53627723,0.00024273768749999989,0.0,0.0,0.1413063905,csi300,csi300|gold,-0.0005587780748595736,0.006853941506972944,0.053158406584743516
2016-12-05,2016-12-02,0.1517024238999999,-0.15170242389999988,-0.1179809906999999,-0.015023474949999987,0.0,0.0,0.0030612454999999986,sp500,sp500|csi300,0.0010170016041348212,0.0006828047193890184,0.012391000044800683
2016-12-06,2016-12-05,0.31223208179999995,0.31223208179999995,0.21678946129999993,0.039029010224999994,0.0,0.07973323660000001,0.0,sp500,sp500|gold,-0.008504108671308467,-0.00938681057152636,-0.02804207669892515
2017-01-06,2017-01-05,0.12939679369999998,-0.12106766609999997,-0.05480237849999997,0.002383569625,0.0,0.0,0.05480237849999999,sp500,sp500|nasdaq,0.00012589886815687337,0.0017024747329484765,0.005850856168378748
2017-01-13,2017-01-12,0.2769402481,-0.27694024810000006,-0.23906264620000006,0.04310401622499999,0.0,0.0,0.2390626462,sp500,sp500|nasdaq,-0.004217535239628911,0.004219016124595668,0.011798818740407524
2017-03-31,2017-03-30,0.07296527239999995,-0.07296527239999995,-0.07296527239999995,0.036482636199999974,0.0,0.0,0.07296527239999995,nasdaq,nasdaq|sp500,-0.0010888420476033453,0.0009890641233102557,0.003045969941184525
2017-05-26,2017-05-25,0.3837191141999999,-2.000000165480742e-10,0.17904034069999997,-0.15771315744999995,0.1918595569999999,0.1918595569999999,0.012819216300000002,nasdaq,nasdaq|sp500,-0.005006003642979317,-0.006300646466142333,0.00012621961275465724
2017-09-15,2017-09-14,0.5670054349,0.12123834089999996,0.20880748750000006,0.1293906252875,0.0,0.0,0.222883547,csi300,csi300|shanghai,-0.004902680759735599,-0.0061731231465036625,-0.005987743504596965
2017-11-17,2017-11-16,0.3880953333,0.3880953333,0.07276659549999998,-0.0804472144875,0.221616116,0.29438271149999995,0.0,csi300,csi300|nasdaq,-0.003175511237047702,0.005067811801244521,0.01798520211359727
2017-12-08,2017-12-07,0.10794659170000001,-0.10794659169999998,-0.0756106192,0.01218599595,0.0,0.0,0.0756106192,nasdaq,nasdaq|sp500,-5.244653052848816e-05,0.0016976320507552651,0.0006166437333772266
2017-12-12,2017-12-11,0.43846777600000003,0.16870168060000001,0.10022445010000003,0.009343364324999999,0.19570843270000002,0.19570843270000002,0.0954839826,nasdaq,nasdaq|sp500,-0.007740832542277011,-0.011067332514845402,-0.013689948896209857
2018-03-02,2018-03-01,0.09458047210000003,-0.09458047209999998,-0.07019557640000001,0.006112079012500006,0.0,0.0,0.024384895700000006,csi300,csi300|gold,0.0018855413548850143,-0.0036842688727076888,0.0003663223945829402
2018-03-09,2018-03-08,0.28467808219999996,0.167194297,0.05774856620000002,0.06015756249999998,0.0,0.0480668594,0.058741892599999956,nasdaq,nasdaq|csi300,-0.0009807419624282207,0.0024787894276692493,0.0027492312782981133
2018-05-29,2018-05-28,0.08575137890000001,-0.08575137890000001,-0.07956427490000001,0.038235361450000005,0.0,0.0,0.07956427490000001,nasdaq,nasdaq|sp500,0.0015262745950244696,0.002849176271009775,0.009656495449933303
2018-07-30,2018-07-27,0.3224281425,-0.2051159151,-0.14088709900000002,0.0448040601125,0.05865611370000001,0.05865611370000001,0.1995432127,nasdaq,nasdaq|sp500,-0.0010664128565224342,0.0002479862242562906,-0.0015290466054512977
2018-08-01,2018-07-31,0.26121037660000007,-0.2612103766,-0.2400473621000001,0.08737238397500004,0.0,0.0,0.24004736210000008,nasdaq,nasdaq|sp500,0.003917327564697755,0.00998118368656176,-0.015091500563304276
2018-08-17,2018-08-16,0.0906249173,-0.0906249173,-0.0906249173,0.0339843439875,0.0,0.0,0.0906249173,nasdaq,nasdaq|sp500,3.134175119089979e-05,0.000888243518437144,-0.004882745895271497
2018-10-08,2018-10-05,0.2625630989000001,0.26256309890000007,0.23918217310000012,-0.08959756395000004,0.13089854560000003,0.23918217310000012,0.0,sp500,sp500|nasdaq,0.0070942951296174995,0.008700184561629935,0.029598120216845596
2018-10-12,2018-10-11,0.35709686909999994,0.35709686909999994,0.3498678222,-0.08927421727499998,0.007229046899999994,0.26994639959999994,0.0,gold,gold|nasdaq,-0.0028738273602416727,-0.002707866578633799,0.0322244801866491
2018-11-06,2018-11-05,0.08367480710000001,-0.08367480710000003,-0.06459012340000003,-0.0005092870000000037,0.0,0.0,0.024671298699999993,sp500,sp500|gold,-0.002246876747660955,-0.0034386730062247175,-0.004758663462483349
2018-11-07,2018-11-06,0.319054287,0.12337048820000002,0.2212123876,0.0425629597,0.019098127200000002,0.019098127200000002,0.0978418994,sp500,sp500|gold,0.006954836038861972,0.011094593659640833,0.01811257577298129
2018-11-09,2018-11-08,0.0749417572,-0.07494175720000001,-0.03013322530000001,0.008742520962500002,0.0,0.0,0.047422614200000004,sp500,sp500|gold,-0.0011057798228800747,-0.00176483096760988,0.0003453005747181933
2019-02-01,2019-01-31,0.0914289437,-0.09142894370000004,-0.03676253479999997,0.02653590937500001,0.0,0.0,0.0882397634,gold,gold|nasdaq,-0.0009026940360624263,-0.0009257712089823834,0.0018812826586103739
2019-04-26,2019-04-25,0.24523654240000003,0.22922105180000008,0.09516296599999999,-0.00217159079999999,0.1031707113,0.1031707113,0.0080077453,nasdaq,nasdaq|sp500,-0.0020406978762512037,-0.0015719633009579944,-0.022194977689333054
2019-05-01,2019-04-30,0.061114680000000005,-0.06111467999999998,-0.02391444000000001,-0.001908323999999996,0.0,0.0,0.02391444000000001,sp500,sp500|nasdaq,-0.00043920381506432386,-0.0004504257192199633,0.0058272844524892885
2019-06-13,2019-06-12,0.245403567,-0.22383347620000005,0.0104605059,0.11445072969999999,0.0,0.010785045400000002,0.2342939821,gold,gold|sp500,0.0028423724631625323,0.005645935901588926,0.037021785322995215
